	Arg1	Arg2	Conn1	Conn2	ExplConn	File	RelType	SClass1A	SClass1B	SClass2A	SClass2B	Sup1	Sup2
182	Von diesem Geld sind 2 Millionen Euro verschwunden	Diese 2 Millionen Euro suchen wir	NA	NA	jetzt	2-Millionen-Euro-verschwunden-,geldtransporter134.html.txt	Explicit	Temporal.Asynchronous.Precedence	Contingency.Cause.Result	NA	NA	NA	NA
183	"In Schleswig-Holstein ist viel Geld verschwunden.
Das Geld war in einem Geld·transporter"	Was ist passiert	deshalb	NA	NA	2-Millionen-Euro-verschwunden-,geldtransporter134.html.txt	Implicit	Contingency.Cause+SpeechAct.Result+SpeechAct	NA	NA	NA	"            Ein Geld·transporter ist ein besonderes Auto.   
            Ein Geld·transporter ist besonders gesichert.    
            Ein Geld·transporter hat zum Beispiel sehr dicke Türen.
            Ein Geld·transporter bringt zum Beispiel Geld zu einer Bank.           
Die Polizei hat gesagt:
            In dem Geld·transporter war sehr viel Geld.
            Von diesem Geld sind 2 Millionen Euro verschwunden.
            Diese 2 Millionen Euro suchen wir jetzt"	NA
184	Was ist passiert	"Der Geld·transporter ist in Hamburg losgefahren.
Der Geld·transporter sollte zu einer Firma fahren.
Diese Firma ist in Kiel....In dem Geld·transporter waren 2 Fahrer.
Die Polizei hat gesagt:
            Der Geld·transporter hat auf einem Rastplatz angehalten."	NA	NA	NA	2-Millionen-Euro-verschwunden-,geldtransporter134.html.txt	Hypophora	NA	NA	NA	NA	NA	NA
185	Der Geld·transporter ist in Hamburg losgefahren	Der Geld·transporter sollte zu einer Firma fahren	NA	NA	sollte	2-Millionen-Euro-verschwunden-,geldtransporter134.html.txt	AltLex	Contingency.Purpose.Arg2-as-goal	NA	NA	NA	NA	NA
186	Der Geld·transporter sollte zu einer Firma fahren	Diese Firma ist in Kiel	NA	NA	NA	2-Millionen-Euro-verschwunden-,geldtransporter134.html.txt	EntRel	NA	NA	NA	NA	NA	NA
187	In dem Geld·transporter waren 2 Fahrer	"Die Polizei hat gesagt:
            Der Geld·transporter hat auf einem Rastplatz angehalten"	NA	NA	NA	2-Millionen-Euro-verschwunden-,geldtransporter134.html.txt	EntRel	NA	NA	NA	NA	NA	NA
188	Ein Rastplatz ist zum Beispiel an einer Autobahn	Auf einem Rastplatz können Auto·fahrer zum Beispiel auf die Toilette gehen	NA	NA	NA	2-Millionen-Euro-verschwunden-,geldtransporter134.html.txt	EntRel	NA	NA	NA	NA	NA	NA
189	Der Geld·transporter hat auf einem Rastplatz angehalten	Auf dem Rastplatz haben die 2 Fahrer eine Pause gemacht	dann	NA	NA	2-Millionen-Euro-verschwunden-,geldtransporter134.html.txt	Implicit	Temporal.Asynchronous.Precedence	NA	NA	NA	NA	NA
190	Auf dem Rastplatz haben die 2 Fahrer eine Pause gemacht	Der eine von den 2 Fahrern ist vom Geld·transporter weggegangen	währenddessen	NA	NA	2-Millionen-Euro-verschwunden-,geldtransporter134.html.txt	Implicit	Temporal.Synchronous	NA	NA	NA	NA	NA
191	Der eine von den 2 Fahrern ist vom Geld·transporter weggegangen	Vielleicht ist...der andere von den 2 Fahrern vom Geld·transporter weggegangen	NA	NA	auch	2-Millionen-Euro-verschwunden-,geldtransporter134.html.txt	Explicit	Comparison.Similarity	NA	NA	NA	NA	NA
192	Auf dem Rastplatz haben die 2 Fahrer eine Pause gemacht	Nach der Pause sind die 2 Fahrer zu der Firma weiter·gefahren	NA	NA	Nach der Pause	2-Millionen-Euro-verschwunden-,geldtransporter134.html.txt	AltLex	Temporal.Asynchronous.Precedence	NA	NA	NA	NA	NA
193	Nach der Pause sind die 2 Fahrer zu der Firma weiter·gefahren	"In der Firma haben Mitarbeiter bemerkt:
                        In dem Geld·transporter fehlt Geld"	jedoch	später	NA	2-Millionen-Euro-verschwunden-,geldtransporter134.html.txt	Implicit	Comparison.Concession.Arg2-as-denier	NA	Temporal.Asynchronous.Precedence	NA	NA	NA
194	In dem Geld·transporter fehlt Geld	2 Millionen Euro von dem Geld sind verschwunden	und zwar	NA	NA	2-Millionen-Euro-verschwunden-,geldtransporter134.html.txt	Implicit	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	NA	NA
195	"Der Geld·transporter ist in Hamburg losgefahren.
Der Geld·transporter sollte zu einer Firma fahren.
Diese Firma ist in Kiel...In dem Geld·transporter waren 2 Fahrer.
Die Polizei hat gesagt:
            Der Geld·transporter hat auf einem Rastplatz angehalten"	ermittelt die Polizei	NA	NA	Jetzt	2-Millionen-Euro-verschwunden-,geldtransporter134.html.txt	Explicit	Temporal.Asynchronous.Precedence	Contingency.Cause.Result	NA	NA	NA	NA
196	Jetzt ermittelt die Polizei	"Die Polizei will...wissen:
            Wo sind die 2 Millionen Euro"	NA	NA	nämlich	2-Millionen-Euro-verschwunden-,geldtransporter134.html.txt	Explicit	Contingency.Cause.Reason	NA	NA	NA	NA	NA
197	In Hamburg sind am Wochen·ende 2 große Veranstaltungen	"Diese 2 großen Veranstaltungen sind:
• Ein Musik·fest.
• Und eine Sport·veranstaltung"	NA	NA	NA	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	EntRel	NA	NA	NA	NA	NA	NA
198	"Diese 2 großen Veranstaltungen sind:
• Ein Musik·fest.
• Und eine Sport·veranstaltung"	Die 2 großen Veranstaltungen sind in St. Pauli	NA	NA	NA	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	EntRel	NA	NA	NA	NA	NA	NA
199	Die 2 großen Veranstaltungen sind in St. Pauli	die 2 großen Veranstaltungen sind in der Nähe von St. Pauli	NA	NA	Und	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
200	Und die 2 großen Veranstaltungen sind in der Nähe von St. Pauli	Die 2 großen Veranstaltungen sind an einem Wochen·ende	NA	NA	NA	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	EntRel	NA	NA	NA	NA	NA	NA
201	Die 2 großen Veranstaltungen sind an einem Wochen·ende	sind die Bewohner von St. Pauli genervt	NA	NA	Deshalb	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	Explicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
202	Deshalb sind die Bewohner von St. Pauli genervt	"Die Bewohner von St. Pauli sagen:
            Zu diesen 2 großen Veranstaltungen kommen sehr viele Menschen.
            Diese Menschen machen viel Lärm.
            Und diese Menschen machen viel Müll.
            Deshalb stören diese Menschen uns"	nämlich	NA	NA	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	Implicit	Expansion.Level-of-detail.Arg2-as-detail	Contingency.Cause+Belief.Reason+Belief	NA	NA	NA	NA
203	"Die Bewohner von St. Pauli sagen:
            Zu diesen 2 großen Veranstaltungen kommen sehr viele Menschen"	Diese Menschen machen viel Lärm	NA	NA	NA	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	EntRel	NA	NA	NA	NA	NA	NA
204	Diese Menschen machen viel Lärm	diese Menschen machen viel Müll	NA	NA	Und	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
205	Und diese Menschen machen viel Müll	stören diese Menschen uns	NA	NA	Deshalb	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	Explicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
206	Deshalb stören diese Menschen uns	Das Musik·fest heißt Schlagermove	NA	NA	NA	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	NoRel	NA	NA	NA	NA	NA	NA
207	Das Musik·fest heißt Schlagermove	Der Schlagermove ist jedes Jahr in Hamburg	NA	NA	NA	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	EntRel	NA	NA	NA	NA	NA	NA
208	Der Schlagermove ist jedes Jahr in Hamburg	Beim Schlagermove fahren besondere Last·wagen auf den Straßen	NA	NA	NA	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	EntRel	NA	NA	NA	NA	NA	NA
209	Beim Schlagermove fahren besondere Last·wagen auf den Straßen	Diese Last·wagen fahren sehr langsam	NA	NA	NA	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	EntRel	NA	NA	NA	NA	NA	NA
210	Diese Last·wagen fahren sehr langsam	Hinter diesen Last·wagen sind Anhänger	NA	NA	NA	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	EntRel	NA	NA	NA	NA	NA	NA
211	Hinter diesen Last·wagen sind Anhänger	Diese Anhänger sind bunt geschmückt	NA	NA	NA	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	EntRel	NA	NA	NA	NA	NA	NA
212	Diese Anhänger sind bunt geschmückt	Auf diesen Anhängern sind Menschen	NA	NA	NA	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	EntRel	NA	NA	NA	NA	NA	NA
213	Auf diesen Anhängern sind Menschen	Die Menschen auf den Anhängern spielen Schlager	NA	NA	NA	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	EntRel	NA	NA	NA	NA	NA	NA
214	Schlager sind deutsche Lieder	Viele von den Schlagern sind schon alt	NA	NA	NA	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	EntRel	NA	NA	NA	NA	NA	NA
215	Viele von den Schlagern sind schon alt	kennen viele Menschen in Deutschland viele Schlager	NA	NA	Deshalb	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	Explicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
216	Die Menschen auf den Anhängern spielen Schlager	die Menschen tanzen zu den Schlagern	NA	NA	Und	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
217	Und die Menschen tanzen zu den Schlagern	Beim Schlagermove sind immer viele Besucher	NA	NA	NA	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	EntRel	NA	NA	NA	NA	NA	NA
218	Beim Schlagermove sind immer viele Besucher	Die meisten Besucher sind verkleidet	NA	NA	NA	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	EntRel	NA	NA	NA	NA	NA	NA
219	Die meisten Besucher sind verkleidet	Die Besucher haben...bunte Kleidung	NA	NA	zum Beispiel	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	Explicit	Expansion.Instantiation.Arg2-as-instance	NA	NA	NA	NA	NA
220	Die Besucher haben zum Beispiel bunte Kleidung	viele Besucher haben bunte Perücken auf dem Kopf	NA	NA	Und	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
221	Und viele Besucher haben bunte Perücken auf dem Kopf	Viele Besucher haben...große Sonnen·brillen auf	NA	NA	auch	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
222	Viele Besucher haben auch große Sonnen·brillen auf	Die Sport·veranstaltung ist ein Triathlon	NA	NA	NA	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	NoRel	NA	NA	NA	NA	NA	NA
223	Bei einem Triathlon müssen Sportler eine bestimmte Strecke zurücklegen	"Die Sportler müssen:
            • Schwimmen"	indem	genauer gesagt	NA	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	Implicit	Expansion.Manner.Arg2-as-manner	NA	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA
224	"Die Sportler müssen:
            • Schwimmen"	Rad fahren	NA	NA	Dann	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	Explicit	Temporal.Asynchronous.Precedence	NA	NA	NA	NA	NA
225	Dann Rad fahren	Und...laufen	NA	NA	dann	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	Explicit	Temporal.Asynchronous.Precedence	NA	NA	NA	NA	NA
226	Die Sport·veranstaltung ist ein Triathlon	Der Triathlon ist jedes Jahr in Hamburg	NA	NA	NA	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	EntRel	NA	NA	NA	NA	NA	NA
227	Der Triathlon ist jedes Jahr in Hamburg	der Triathlon in Hamburg ist der größte Triathlon auf der Welt	NA	NA	Und	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
228	Und der Triathlon in Hamburg ist der größte Triathlon auf der Welt	Im vergangenen Jahr waren mehr als 10.000 Sportler dabei	zum Beispiel	denn	NA	2-grosse-Veranstaltungen-in-Hamburg,veranstaltungen318.html.txt	Implicit	Expansion.Instantiation.Arg2-as-instance	NA	Contingency.Cause.Reason	NA	NA	NA
229	In einem Museum können Menschen besondere Dinge sehen	Diese Dinge sind oft sehr alt	NA	NA	NA	Besonderes-Museum-wieder-geoeffnet,haithabu540.html.txt	EntRel	NA	NA	NA	NA	NA	NA
230	Diese Dinge sind oft sehr alt	diese Dinge sind oft sehr wertvoll	NA	NA	Und	Besonderes-Museum-wieder-geoeffnet,haithabu540.html.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
231	Und diese Dinge sind oft sehr wertvoll	Diese Dinge sind...Bilder von berühmten Malern	NA	NA	zum Beispiel	Besonderes-Museum-wieder-geoeffnet,haithabu540.html.txt	Explicit	Expansion.Instantiation.Arg2-as-instance	NA	NA	NA	NA	NA
232	In Schleswig-Holstein hat ein besonderes Museum wieder geöffnet	Das Museum ist in der Nähe von Schleswig	NA	NA	NA	Besonderes-Museum-wieder-geoeffnet,haithabu540.html.txt	EntRel	NA	NA	NA	NA	NA	NA
233	Das Museum ist in der Nähe von Schleswig	Das Museum heißt Haithabu	NA	NA	NA	Besonderes-Museum-wieder-geoeffnet,haithabu540.html.txt	EntRel	NA	NA	NA	NA	NA	NA
234	Das Museum heißt Haithabu	"das Museum zeigt:
            So haben die Wikinger gelebt"	NA	NA	Und	Besonderes-Museum-wieder-geoeffnet,haithabu540.html.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
235	Die Wikinger haben vor über 1000 Jahren gelebt	Die meisten Wikinger haben in Nord·europa gelebt	NA	NA	Die meisten Wikinger	Besonderes-Museum-wieder-geoeffnet,haithabu540.html.txt	AltLex	Expansion.Instantiation.Arg2-as-instance	NA	NA	NA	NA	NA
236	Die meisten Wikinger haben in Nord·europa gelebt	Einige von den Wikingern waren Seefahrer	NA	NA	Einige von den Wikingern	Besonderes-Museum-wieder-geoeffnet,haithabu540.html.txt	AltLex	Expansion.Instantiation.Arg2-as-instance	NA	NA	NA	NA	NA
237	Einige von den Wikingern waren Seefahrer	Viele Menschen hatten Angst vor diesen Seefahrern	NA	NA	NA	Besonderes-Museum-wieder-geoeffnet,haithabu540.html.txt	EntRel	NA	NA	NA	NA	NA	NA
238	Viele Menschen hatten Angst vor diesen Seefahrern	Diese Seefahrer haben...Dörfer überfallen	NA	NA	nämlich	Besonderes-Museum-wieder-geoeffnet,haithabu540.html.txt	Explicit	Contingency.Cause.Reason	NA	NA	NA	NA	NA
239	Einige von den Wikingern waren Seefahrer	"die meisten Wikinger waren:
                        • Bauern.
                        • Oder Hand·werker"	NA	NA	Aber	Besonderes-Museum-wieder-geoeffnet,haithabu540.html.txt	Explicit	Comparison.Contrast	NA	NA	NA	NA	NA
240	"Und das Museum zeigt:
            So haben die Wikinger gelebt"	Das Museum war lange geschlossen	NA	NA	NA	Besonderes-Museum-wieder-geoeffnet,haithabu540.html.txt	EntRel	NA	NA	NA	NA	NA	NA
241	Das Museum war lange geschlossen	Hand·werker haben das Museum...umgebaut	NA	NA	nämlich	Besonderes-Museum-wieder-geoeffnet,haithabu540.html.txt	Explicit	Contingency.Cause.Reason	NA	NA	NA	NA	NA
242	Hand·werker haben das Museum nämlich umgebaut	sind die Handwerker fertig	NA	NA	Aber jetzt	Besonderes-Museum-wieder-geoeffnet,haithabu540.html.txt	Explicit	Temporal.Asynchronous.Precedence	Comparison.Contrast	NA	NA	NA	NA
243	Aber jetzt sind die Handwerker fertig	die Menschen können das Museum...besuchen	NA	NA	Und...wieder	Besonderes-Museum-wieder-geoeffnet,haithabu540.html.txt	Explicit	Contingency.Cause.Result	Comparison.Contrast	NA	NA	"Das Museum war lange geschlossen.
Hand·werker haben das Museum nämlich umgebaut"	NA
244	Und die Menschen können das Museum wieder besuchen	In dem Museum sind viele Dinge von den Wikingern	NA	NA	NA	Besonderes-Museum-wieder-geoeffnet,haithabu540.html.txt	EntRel	NA	NA	NA	NA	NA	NA
245	In dem Museum sind viele Dinge von den Wikingern	"Diese Dinge sind...:
• Boote.
• Werkzeug.
• Oder Schmuck"	NA	NA	zum Beispiel	Besonderes-Museum-wieder-geoeffnet,haithabu540.html.txt	Explicit	Expansion.Instantiation.Arg2-as-instance	NA	NA	NA	NA	NA
246	"Diese Dinge sind zum Beispiel:
• Boote.
• Werkzeug.
• Oder Schmuck"	"Ein Sprecher von dem Museum hat gesagt:
            Archäologen haben im vergangen Jahr Gold·schmuck gefunden...Dieser Gold·schmuck ist von Wikingern.
            Und diesen Gold·schmuck können die Besucher jetzt im Museum sehen"	denn	NA	NA	Besonderes-Museum-wieder-geoeffnet,haithabu540.html.txt	Implicit	Contingency.Cause.Reason	NA	NA	NA	NA	NA
247	Archäologen sind Forscher	"                        Archäologen suchen sehr alte Dinge.
                        Zum Beispiel:
                        • Knochen.
                        • Schmuck.
                        • Und Werkzeuge"	NA	NA	NA	Besonderes-Museum-wieder-geoeffnet,haithabu540.html.txt	EntRel	NA	NA	NA	NA	NA	NA
248	"Archäologen suchen sehr alte Dinge.
                        Zum Beispiel:
                        • Knochen.
                        • Schmuck.
                        • Und Werkzeuge"	Archäologen untersuchen diese alten Dinge	NA	NA	Und	Besonderes-Museum-wieder-geoeffnet,haithabu540.html.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
249	Dieser Gold·schmuck ist von Wikingern	diesen Gold·schmuck können die Besucher...im Museum sehen	NA	NA	Und...jetzt	Besonderes-Museum-wieder-geoeffnet,haithabu540.html.txt	AltLex	Temporal.Asynchronous.Precedence	Contingency.Cause.Result	NA	NA	Archäologen haben im vergangen Jahr Gold·schmuck gefunden	NA
